drink name,closest popular drink,score
cuba liberation,pink mojito,4.404535285135495
culebra,french 75,1.689542658788352
cupid's carrier pigeon,pink colada,3.0673014006981427
cut & rum,pink colada,2.5229816023297906
cut to the chase,kentucky mai tai,9.015676087789311
daisy mae,french 75,2.003209922837434
dark caipirinha,dark caipirinha,13.879294837928837
day for night,kentucky mai tai,8.54360635871739
delicious in mauritius,pink mojito,4.1666804856971655
delicious sour,french 75,1.676030352455468
dernier mot,french 75,1.6929910196447522
desmond's choice,kentucky mai tai,8.863140148220998
deviled negroni ,martini,0.8583414575503777
dirty martini,martini,1.006254434910498
divine aspect,martini,0.7985282979877872
division bell,french 75,1.652025464733023
doctor's orders,manhattan,1.5785125262097568
don't rock the boat punch,french 75,1.6344634046703244
donaji,french 75,1.9363609556537673
down the rabbit hole,french 75,1.8794955198839218
drink lab #16,kentucky mai tai,8.995475179950656
drops of jupiter,french 75,1.65683121835359
dry mauritian sour,pink mojito,3.7834125198977206
duchamp's punch,pink mojito,3.5011201579154165
duke's classic dry martini,martini,0.942065498327253
dutch stories,french 75,1.797556858919723
"eat, drink and be cherry",mojito,7.831875016360357
eden's apple,french 75,1.6669526372412125
el cortez,pink colada,2.5229816023297906
el mustavo,manhattan,1.5785125262097568
elgin elixir,pink colada,2.268972551446787
end of winter,kentucky mai tai,8.318508570105115
endless summer,kentucky mai tai,9.06976874166649
english harbour colada,pink colada,3.366952165587802
erasmus' revenge,kentucky mai tai,8.469393320741663
espèce de sazerac,manhattan,1.362477977196584
espresso martini,dark caipirinha,9.204302360680895
essence no.5 (adapted),french 75,1.960650313169122
far from the tree,french 75,1.6607953708106489
farmer's gold,french 75,1.9278089619337129
feingold,kentucky mai tai,8.672814361493929
fernet frappe,french 75,1.6322333042507928
fiery clydesdale,pink mojito,4.240955341848471
figge bout it,kentucky mai tai,9.292953130832652
final ward,french 75,1.786243269764337
fiona graham,kentucky mai tai,8.827070149493627
flambeed brandy alexander,flambeed brandy alexander,3.3770573143369376
flamenco,kentucky mai tai,9.998270904704967
flaming lamborghini,ace,1.4119811453513735
flight to peru,french 75,1.7403231152736103
flip and flight,pink colada,2.8302539283949053
flip the bird,pink colada,3.101924378073241
floral summer,french 75,2.042197040293822
fortune & glory,kentucky mai tai,9.150524783282501
fourth generation,kentucky mai tai,8.916318483106801
frankie and johnnie,kentucky mai tai,9.150524783282501
french 33,french 75,2.2404886070567414
french 75,french 75,2.6130241301667176
french maid,pink mojito,4.084792168370978
french martini,pink colada,2.977580470178065
frisco san,kentucky mai tai,8.486398488247007
full of bologna,french 75,1.6607953708106489
gagliardo,lemon drop,0.9074423275639777
garrison's new fashioned,kentucky mai tai,9.534019823185728
geaux geaux cup,french 75,1.786243269764337
georgia old fashioned,kentucky mai tai,9.159165932012433
gin made me do it,kentucky mai tai,8.746325411916876
gin n' celery,french 75,1.8136935933060079
gin rickey,mojito,9.250547175681977
ginger drop,french 75,1.8991813077639401
ginger pigeon,pink mojito,4.15701150990273
glimpse of seduction,french 75,1.797556858919723
goat town swizzle,kentucky mai tai,9.435703096539303
gold rush,pink mojito,3.9368285424317024
gold spritz,pink mojito,3.341265653769836
gran classico negroni,manhattan,1.5579474773819673
green and gold,lemon drop,0.8162975997451698
grey anchor,pink mojito,3.3623839060521323
grown-up shirley temple,pink mojito,3.859505857490293
hanky panky (classic),manhattan,1.5785125262097568
hanny's hot apple toddy,pink colada,2.7318095697090206
harms' way,kentucky mai tai,8.469393320741663
heard it through the grapevine,flambeed brandy alexander,2.1349845576423494
heart breaker,kentucky mai tai,9.127207908194489
hemingway daiquiri,pink colada,3.2683375454409185
hibiscus pisco sour,french 75,1.6607953708106489
hidarite,manhattan,1.7074744853161876
hippi hill,pink mojito,3.8072180885980877
holland house,french 75,1.7658904691371964
honey basil smash,pink mojito,3.859505857490293
hophead dirty martini,martini,0.980873725483946
hophead old fashioned,french 75,1.7310684230846618
hopped-up mary,lemon drop,0.8712878642394465
hopped-up mule,french 75,1.6322333042507928
hotaling seaside shandy,martini,0.7682693430976767
hotaling white manhattan,manhattan,1.4672192434602482
huntsman,pink colada,3.1230030646591014
i'm only happy when it rains,pink colada,2.565803291224315
imperial cocktail,tequila sunrise,0.8906237567473916
improved calvados cocktail,kentucky mai tai,8.672814361493929
improved whisky cocktail,kentucky mai tai,7.337084744773359
in hinesight,flambeed brandy alexander,2.2277664987090366
international mistress,kentucky mai tai,8.827070149493627
ipa mule,french 75,1.8281887099051457
irish curdling cow,tequila sunrise,0.9233497273522852
irish goodbye,flambeed brandy alexander,2.0395917867693427
iron fist in a velvet glove,french 75,1.4064500024102835
iron tonic,french 75,1.6929910196447522
italian margarita,pink mojito,3.615090146909221
italian riviera mojito,pink mojito,3.7834125198977206
jalapeño sour,pink mojito,3.6803130077028547
jammie dodger fizz,flambeed brandy alexander,2.435203986399138
japanese cocktail,kentucky mai tai,10.223563307536365
japonais no.3,french 75,2.019221507457159
jitterbug,mojito,9.910410745264103
julia's child,french 75,1.9979168812224017
juniperotivo,pink mojito,4.45997812075901
kanazawa,kentucky mai tai,8.54360635871739
karlsson's mule,pink mojito,3.702483527814268
karlsson's old fashioned,'57 chevy with a white license plate,7.710409669074238
karlsson's winter punch,pink mojito,3.6188237427769456
kay pacha mi pacha,kentucky mai tai,9.292953130832652
kentucky likker,kentucky mai tai,9.150524783282501
kentucky mai tai,kentucky mai tai,13.38593822417051
kick the pigeon,pink mojito,3.718049236046697
kind of fancy,manhattan,1.3160097742499526
king's medicine,french 75,1.6344634046703244
